LinkID,Time,Speed
6000,1345,11.7191
6000,1396,11.7191
6015,45,22.5429
6015,369,25.5892
6015,406,25.5892
6015,442,19.3224
6015,477,19.3224
6015,513,19.3224
6015,550,16.0475
6015,588,16.0475
6015,626,14.7938
6015,664,14.7938
6015,704,14.7938
6015,722,22.5429
6015,745,16.0475
6015,788,13.15
6015,839,16.0475
6015,886,14.7938
6015,929,12.9699
6015,978,14.7938
6015,1024,15.5213
6015,1068,17.5333
6015,1110,17.5333
6015,1151,17.5333
6015,1194,2.1866
6015,1242,22.5429
6015,1293,22.5429
6015,1345,22.5429
6015,1396,22.5429
6016,45,19.08
6016,369,19.08
6016,406,19.08
6016,442,13.6286
6016,477,13.6286
6016,513,13.6286
6016,550,11.2235
6016,588,11.2235
6016,626,12.72
6016,664,12.72
6016,704,12.72
6016,722,14.6769
6016,745,10.0421
6016,788,10.0421
6016,839,10.0421
6016,886,10.6
6016,929,10.6
6016,978,10.6
6016,1024,10.6
6016,1068,10.0421
6016,1110,10.0421
6016,1151,10.0421
6016,1194,14.6769
6016,1242,14.6769
6016,1293,14.6769
6016,1345,14.6769
6016,1396,14.6769
6040,45,24.3724
6040,369,25.1757
6040,406,24.48
6040,442,24.975
6040,477,24.975
6040,513,24.975
6040,550,22.2395
6040,588,19.8237
6040,626,19.8873
6040,664,19.8873
6040,704,19.8873
6040,722,26.9036
6040,745,27.7611
6040,788,21.4059
6040,839,19.6895
6040,886,19.8935
6040,929,19.8935
6040,978,23.9828
6040,1024,14.8626
6040,1068,14.5311
6040,1110,14.5311
6040,1151,12.0294
6040,1194,21.693
6040,1242,21.693
6040,1293,21.693
6040,1345,21.693
6040,1396,21.693
6058,45,10.12
6058,369,10.1866
6058,406,10.1866
6058,442,7.0389
6058,477,8.464
6058,513,8.464
6058,550,9.9116
6058,588,9.0467
6058,626,8.6263
6058,664,5.0729
6058,704,8.7411
6058,722,10.12
6058,745,8.9013
6058,788,8.9013
6058,839,10.6457
6058,886,6.3512
6058,929,7.5274
6058,978,7.5274
6058,1024,8.3504
6058,1068,7.3274
6058,1110,8.3504
6058,1151,8.3504
6058,1194,8.9833
6058,1242,8.9833
6058,1293,8.9833
6058,1345,8.9833
6058,1396,8.9833
6059,45,19.5429
6059,369,16.0941
6059,406,3.6725
6059,442,11.6426
6059,477,11.6426
6059,513,11.6426
6059,550,16.5818
6059,588,16.5818
6059,626,14.7892
6059,664,14.7892
6059,704,14.7892
6059,722,17.1
6059,745,15.6343
6059,788,15.6343
6059,839,15.6343
6059,886,13.3463
6059,929,13.3463
6059,978,13.3463
6059,1024,14.0308
6059,1068,14.0308
6059,1110,14.0308
6059,1151,14.0308
6059,1194,17.1
6059,1242,17.1
6059,1293,17.1
6059,1345,17.1
6059,1396,17.1
6067,45,52.9714
6067,369,52.9714
6067,406,52.9714
6067,442,37.08
6067,477,37.08
6067,513,37.08
6067,550,37.08
6067,588,37.08
6067,626,41.2
6067,664,41.2
6067,704,41.2
6067,722,41.2
6067,745,41.2
6067,788,41.2
6067,839,41.2
6067,886,37.08
6067,929,37.08
6067,978,37.08
6067,1024,37.08
6067,1068,37.08
6067,1110,37.08
6067,1151,37.08
6067,1194,41.2
6067,1242,41.2
6067,1293,41.2
6067,1345,41.2
6067,1396,41.2
6068,45,27.4966
6068,369,30.6692
6068,406,30.6692
6068,442,19.6889
6068,477,19.6889
6068,513,19.6889
6068,550,23.4529
6068,588,23.4529
6068,626,23.4529
6068,664,23.4529
6068,704,23.4529
6068,722,23.803
6068,745,24.1636
6068,788,24.1636
6068,839,24.1636
6068,886,25.3143
6068,929,25.3143
6068,978,25.3143
6068,1024,19.935
6068,1068,19.935
6068,1110,19.935
6068,1151,19.935
6068,1194,23.803
6068,1242,23.803
6068,1293,23.803
6068,1345,23.803
6068,1396,23.803
6105,45,6.2031
6105,369,6.2031
6105,406,6.2031
6105,442,5.376
6105,477,5.376
6105,513,5.376
6105,550,6.0179
6105,588,6.0179
6105,626,4.6345
6105,664,4.6345
6105,704,4.6345
6105,722,5.1692
6105,745,5.76
6105,788,5.76
6105,839,5.76
6105,886,4.2
6105,929,4.2
6105,978,4.2
6105,1024,4.9171
6105,1068,5.1692
6105,1110,5.1692
6105,1151,5.1692
6105,1194,5.1692
6105,1242,5.1692
6105,1293,5.1692
6105,1345,5.1692
6105,1396,5.1692
6106,45,12.4457
6106,369,13.2
6106,406,13.2
6106,442,5.3778
6106,477,5.3778
6106,513,5.3778
6106,550,2.1458
6106,588,2.9432
6106,626,2.0074
6106,664,3.2267
6106,704,2.0074
6106,722,8.2189
6106,745,7.141
6106,788,7.141
6106,839,7.141
6106,886,7.26
6106,929,7.26
6106,978,7.26
6106,1024,3.0894
6106,1068,3.1338
6106,1110,3.1338
6106,1151,1.3962
6106,1194,8.2189
6106,1242,2.757
6106,1293,8.2189
6106,1345,2.757
6106,1396,8.2189
6119,45,43.4571
6119,369,45.0667
6119,406,45.0667
6119,442,35.7882
6119,477,35.7882
6119,513,35.7882
6119,550,38.025
6119,588,38.025
6119,626,36.8727
6119,664,36.8727
6119,704,36.8727
6119,722,38.025
6119,745,41.9586
6119,788,41.9586
6119,839,41.9586
6119,886,36.8727
6119,929,36.8727
6119,978,36.8727
6119,1024,36.8727
6119,1068,36.8727
6119,1110,36.8727
6119,1151,36.8727
6119,1194,38.025
6119,1242,38.025
6119,1293,38.025
6119,1345,38.025
6119,1396,38.025
6123,45,22.7127
6123,369,22.5081
6123,406,22.5081
6123,442,11.4606
6123,477,5.6525
6123,513,11.4606
6123,550,9.2533
6123,588,9.2533
6123,626,18.9273
6123,664,6.5575
6123,704,18.9273
6123,722,16.7678
6123,745,16.1187
6123,788,16.1187
6123,839,16.1187
6123,886,11.0062
6123,929,11.0062
6123,978,11.0062
6123,1024,16.8811
6123,1068,15.518
6123,1110,16.8811
6123,1151,16.8811
6123,1194,16.7678
6123,1242,16.7678
6123,1293,16.7678
6123,1345,16.7678
6123,1396,16.7678
6124,45,9.7538
6124,369,25.9364
6124,406,25.9364
6124,442,21.1333
6124,477,21.1333
6124,513,21.1333
6124,550,19.2814
6124,588,19.2814
6124,626,6.2851
6124,664,2.0711
6124,704,2.8746
6124,722,6.2505
6124,745,2.7171
6124,788,5.7166
6124,839,5.7166
6124,886,4.9461
6124,929,4.9461
6124,978,2.3433
6124,1024,6.4636
6124,1068,5.6495
6124,1110,2.9953
6124,1151,6.4636
6124,1194,6.7714
6124,1242,2.5587
6124,1293,2.5587
6124,1345,6.614
6124,1396,6.5379
6149,45,12.96
6149,369,12.96
6149,406,12.96
6149,442,12.96
6149,477,12.96
6149,513,12.96
6149,550,12.96
6149,588,12.96
6149,626,12.96
6149,664,12.96
6149,704,12.96
6149,722,12.96
6149,745,12.96
6149,788,12.96
6149,839,12.96
6149,886,10.8
6149,929,10.8
6149,978,10.8
6149,1024,10.8
6149,1068,10.8
6149,1110,10.8
6149,1151,10.8
6149,1194,12.96
6149,1242,12.96
6149,1293,12.96
